id;algo;eps;tam;max;count_err;recursive
b;bubble;0.000100;10000;9178;5;
b;bubble;0.000100;10000;4214;11;
b;bubble;0.000100;10000;9388;6;
b;bubble;0.000100;10000;7611;8;
b;bubble;0.000100;10000;3466;8;
b;bubble;0.000100;10000;8079;9;
b;bubble;0.000100;10000;9567;13;
b;bubble;0.000100;10000;6488;11;
b;bubble;0.000100;10000;8829;6;
b;bubble;0.000100;10000;4646;14;
b;bubble;0.000100;10000;8320;18;
b;bubble;0.000100;10000;6370;12;
b;bubble;0.000100;10000;6958;10;
b;bubble;0.000100;10000;8007;9;
b;bubble;0.000100;10000;3867;10;
b;bubble;0.000100;10000;4949;5;
b;bubble;0.000100;10000;9596;5;
b;bubble;0.000100;10000;4106;9;
b;bubble;0.000100;10000;5827;10;
b;bubble;0.000100;10000;9101;7;
b;bubble;0.000100;10000;3172;13;
b;bubble;0.000100;10000;3041;14;
b;bubble;0.000100;10000;9397;9;
b;bubble;0.000100;10000;9497;9;
b;bubble;0.000100;10000;7773;12;
b;bubble;0.000100;10000;8874;7;
b;bubble;0.000100;10000;8679;12;
b;bubble;0.000100;10000;7734;5;
b;bubble;0.000100;10000;8970;7;
b;bubble;0.000100;10000;5640;14;
b;bubble;0.000100;10000;6117;11;
b;bubble;0.000100;10000;5220;11;
b;bubble;0.000100;10000;6493;13;
b;bubble;0.000100;10000;6146;16;
b;bubble;0.000100;10000;6066;12;
b;bubble;0.000100;10000;7136;7;
b;bubble;0.000100;10000;8806;6;
b;bubble;0.000100;10000;5437;14;
b;bubble;0.000100;10000;4695;13;
b;bubble;0.000100;10000;4631;7;
q;quick;0.000100;10000;1773;16;
q;quick;0.000100;10000;4316;11;
q;quick;0.000100;10000;3541;11;
q;quick;0.000100;10000;1789;24;
q;quick;0.000100;10000;1908;12;
q;quick;0.000100;10000;2886;16;
q;quick;0.000100;10000;2653;19;
q;quick;0.000100;10000;1403;14;
q;quick;0.000100;10000;1397;16;
q;quick;0.000100;10000;2122;19;
q;quick;0.000100;10000;1438;20;
q;quick;0.000100;10000;1931;17;
q;quick;0.000100;10000;1940;19;
q;quick;0.000100;10000;2468;14;
q;quick;0.000100;10000;1349;20;
q;quick;0.000100;10000;1893;12;
q;quick;0.000100;10000;1062;17;
q;quick;0.000100;10000;2294;15;
q;quick;0.000100;10000;1145;15;
q;quick;0.000100;10000;1991;14;
q;quick;0.000100;10000;2140;20;
q;quick;0.000100;10000;2154;13;
q;quick;0.000100;10000;1439;21;
q;quick;0.000100;10000;2453;15;
q;quick;0.000100;10000;1451;18;
q;quick;0.000100;10000;1549;20;
q;quick;0.000100;10000;1806;19;
q;quick;0.000100;10000;1765;19;
q;quick;0.000100;10000;1225;19;
q;quick;0.000100;10000;2983;14;
q;quick;0.000100;10000;2203;12;
q;quick;0.000100;10000;1878;16;
q;quick;0.000100;10000;1190;21;
q;quick;0.000100;10000;2706;15;
q;quick;0.000100;10000;1596;19;
q;quick;0.000100;10000;2657;13;
q;quick;0.000100;10000;1519;20;
q;quick;0.000100;10000;1393;22;
q;quick;0.000100;10000;1521;22;
q;quick;0.000100;10000;1736;20;
m;merge;0.000100;10000;1421;13;
m;merge;0.000100;10000;1744;15;
m;merge;0.000100;10000;2340;15;
m;merge;0.000100;10000;2558;15;
m;merge;0.000100;10000;1929;12;
m;merge;0.000100;10000;2238;9;
m;merge;0.000100;10000;1750;21;
m;merge;0.000100;10000;1617;12;
m;merge;0.000100;10000;1756;10;
m;merge;0.000100;10000;3092;8;
